ffmpeg version 4.4.2-0ubuntu0.22.04.1 Copyright (c) 2000-2021 the FFmpeg developers
  built with gcc 11 (Ubuntu 11.2.0-19ubuntu1)
  configuration: --prefix=/usr --extra-version=0ubuntu0.22.04.1 --toolchain=hardened --libdir=/usr/lib/aarch64-linux-gnu --incdir=/usr/include/aarch64-linux-gnu --arch=arm64 --enable-gpl --disable-stripping --enable-gnutls --enable-ladspa --enable-libaom --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libjack --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librabbitmq --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libsrt --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-libzmq --enable-libzvbi --enable-lv2 --enable-omx --enable-openal --enable-opencl --enable-opengl --enable-sdl2 --enable-pocketsphinx --enable-librsvg --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-libx264 --enable-shared
  libavutil      56. 70.100 / 56. 70.100
  libavcodec     58.134.100 / 58.134.100
  libavformat    58. 76.100 / 58. 76.100
  libavdevice    58. 13.100 / 58. 13.100
  libavfilter     7.110.100 /  7.110.100
  libswscale      5.  9.100 /  5.  9.100
  libswresample   3.  9.100 /  3.  9.100
  libpostproc    55.  9.100 / 55.  9.100
Input #0, mpegts, from '/tmp/stream_live1.pipe':
  Duration: N/A, start: 1.400000, bitrate: N/A
  Program 1 
    Metadata:
      service_name    : Service01
      service_provider: FFmpeg
  Stream #0:0[0x100]: Video: h264 (Constrained Baseline) ([27][0][0][0] / 0x001B), yuv420p(tv, bt709, progressive), 1920x1080 [SAR 1:1 DAR 16:9], 30 fps, 30 tbr, 90k tbn, 60 tbc
  Stream #0:1[0x101](eng): Audio: aac (LC) ([15][0][0][0] / 0x000F), 48000 Hz, stereo, fltp, 202 kb/s
Output #0, flv, to 'rtmp://localhost/live1/stream':
  Metadata:
    encoder         : Lavf58.76.100
  Stream #0:0: Video: h264 (Constrained Baseline) ([7][0][0][0] / 0x0007), yuv420p(tv, bt709, progressive), 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 30 fps, 30 tbr, 1k tbn, 90k tbc
  Stream #0:1(eng): Audio: aac (LC) ([10][0][0][0] / 0x000A), 48000 Hz, stereo, fltp, 202 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (copy)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=    1 fps=0.0 q=-1.0 size=       0kB time=00:00:00.05 bitrate=  57.3kbits/s speed=N/A    
frame=   13 fps=0.0 q=-1.0 size=     297kB time=00:00:00.50 bitrate=4844.0kbits/s speed=1.01x    
frame=   29 fps= 29 q=-1.0 size=     611kB time=00:00:01.01 bitrate=4929.3kbits/s speed=1.01x    
frame=   45 fps= 30 q=-1.0 size=     893kB time=00:00:01.52 bitrate=4806.5kbits/s speed=   1x    
frame=   59 fps= 29 q=-1.0 size=    1235kB time=00:00:02.01 bitrate=5016.0kbits/s speed=0.997x    
frame=   74 fps= 29 q=-1.0 size=    1543kB time=00:00:02.52 bitrate=4998.1kbits/s speed=   1x    
frame=   90 fps= 30 q=-1.0 size=    1767kB time=00:00:03.02 bitrate=4789.0kbits/s speed=0.997x    
frame=  106 fps= 30 q=-1.0 size=    2015kB time=00:00:03.55 bitrate=4643.1kbits/s speed=1.01x    
frame=  120 fps= 30 q=-1.0 size=    2281kB time=00:00:04.04 bitrate=4620.7kbits/s speed=   1x    
frame=  135 fps= 30 q=-1.0 size=    2667kB time=00:00:04.55 bitrate=4796.3kbits/s speed=   1x    
frame=  151 fps= 30 q=-1.0 size=    2863kB time=00:00:05.05 bitrate=4638.4kbits/s speed=   1x    
frame=  167 fps= 30 q=-1.0 size=    3113kB time=00:00:05.58 bitrate=4563.0kbits/s speed=1.01x    
frame=  180 fps= 30 q=-1.0 size=    3393kB time=00:00:06.07 bitrate=4578.6kbits/s speed=   1x    
frame=  196 fps= 30 q=-1.0 size=    3877kB time=00:00:06.58 bitrate=4824.6kbits/s speed=   1x    
frame=  212 fps= 30 q=-1.0 size=    4248kB time=00:00:07.08 bitrate=4909.2kbits/s speed=   1x    
frame=  227 fps= 30 q=-1.0 size=    4567kB time=00:00:07.58 bitrate=4929.6kbits/s speed=   1x    
frame=  240 fps= 30 q=-1.0 size=    4873kB time=00:00:08.09 bitrate=4930.3kbits/s speed=   1x    
frame=  256 fps= 30 q=-1.0 size=    5337kB time=00:00:08.60 bitrate=5078.3kbits/s speed=   1x    
frame=  272 fps= 30 q=-1.0 size=    5575kB time=00:00:09.08 bitrate=5024.6kbits/s speed=   1x    
frame=  286 fps= 30 q=-1.0 size=    5837kB time=00:00:09.61 bitrate=4974.8kbits/s speed=   1x    
frame=  302 fps= 30 q=-1.0 size=    6367kB time=00:00:10.12 bitrate=5152.0kbits/s speed=   1x    
frame=  318 fps= 30 q=-1.0 size=    6577kB time=00:00:10.62 bitrate=5072.5kbits/s speed=   1x    
frame=  332 fps= 30 q=-1.0 size=    6851kB time=00:00:11.10 bitrate=5053.6kbits/s speed=0.999x    
frame=  347 fps= 30 q=-1.0 size=    7120kB time=00:00:11.63 bitrate=5011.5kbits/s speed=   1x    
frame=  363 fps= 30 q=-1.0 size=    7643kB time=00:00:12.12 bitrate=5164.8kbits/s speed=0.999x    
frame=  379 fps= 30 q=-1.0 size=    7925kB time=00:00:12.65 bitrate=5129.5kbits/s speed=   1x    
frame=  393 fps= 30 q=-1.0 size=    8254kB time=00:00:13.15 bitrate=5140.8kbits/s speed=   1x    
frame=  409 fps= 30 q=-1.0 size=    8550kB time=00:00:13.65 bitrate=5128.9kbits/s speed=   1x    
frame=  424 fps= 30 q=-1.0 size=    9115kB time=00:00:14.15 bitrate=5274.5kbits/s speed=   1x    
frame=  438 fps= 30 q=-1.0 size=    9381kB time=00:00:14.66 bitrate=5239.3kbits/s speed=   1x    
frame=  454 fps= 30 q=-1.0 size=    9669kB time=00:00:15.18 bitrate=5217.8kbits/s speed=   1x    
frame=  470 fps= 30 q=-1.0 size=    9933kB time=00:00:15.68 bitrate=5186.4kbits/s speed=   1x    
frame=  484 fps= 30 q=-1.0 size=   10466kB time=00:00:16.18 bitrate=5298.2kbits/s speed=   1x    
frame=  499 fps= 30 q=-1.0 size=   10719kB time=00:00:16.69 bitrate=5259.8kbits/s speed=   1x    
frame=  515 fps= 30 q=-1.0 size=   10990kB time=00:00:17.18 bitrate=5237.6kbits/s speed=0.999x    
frame=  531 fps= 30 q=-1.0 size=   11272kB time=00:00:17.72 bitrate=5210.5kbits/s speed=   1x    
frame=  545 fps= 30 q=-1.0 size=   11810kB time=00:00:18.20 bitrate=5313.0kbits/s speed=   1x    
frame=  560 fps= 30 q=-1.0 size=   12199kB time=00:00:18.74 bitrate=5331.6kbits/s speed=   1x    
frame=  576 fps= 30 q=-1.0 size=   12526kB time=00:00:19.22 bitrate=5338.3kbits/s speed=   1x    
frame=  590 fps= 30 q=-1.0 size=   12864kB time=00:00:19.72 bitrate=5343.0kbits/s speed=   1x    
frame=  605 fps= 30 q=-1.0 size=   13350kB time=00:00:20.25 bitrate=5398.8kbits/s speed=   1x    
frame=  621 fps= 30 q=-1.0 size=   13609kB time=00:00:20.76 bitrate=5367.8kbits/s speed=   1x    
frame=  637 fps= 30 q=-1.0 size=   13848kB time=00:00:21.25 bitrate=5336.9kbits/s speed=   1x    
frame=  651 fps= 30 q=-1.0 size=   14119kB time=00:00:21.75 bitrate=5317.7kbits/s speed=   1x    
frame=  666 fps= 30 q=-1.0 size=   14608kB time=00:00:22.28 bitrate=5370.3kbits/s speed=   1x    
frame=  682 fps= 30 q=-1.0 size=   14877kB time=00:00:22.79 bitrate=5346.1kbits/s speed=   1x    
frame=  698 fps= 30 q=-1.0 size=   15130kB time=00:00:23.28 bitrate=5322.0kbits/s speed=   1x    
frame=  712 fps= 30 q=-1.0 size=   15419kB time=00:00:23.77 bitrate=5312.3kbits/s speed=   1x    
frame=  727 fps= 30 q=-1.0 size=   15911kB time=00:00:24.28 bitrate=5366.4kbits/s speed=   1x    
frame=  743 fps= 30 q=-1.0 size=   16192kB time=00:00:24.78 bitrate=5350.9kbits/s speed=   1x    
frame=  759 fps= 30 q=-1.0 size=   16486kB time=00:00:25.32 bitrate=5333.5kbits/s speed=   1x    
frame=  773 fps= 30 q=-1.0 size=   16914kB time=00:00:25.80 bitrate=5369.7kbits/s speed=   1x    
frame=  788 fps= 30 q=-1.0 size=   17412kB time=00:00:26.31 bitrate=5420.3kbits/s speed=   1x    
frame=  804 fps= 30 q=-1.0 size=   17645kB time=00:00:26.82 bitrate=5389.3kbits/s speed=   1x    
frame=  818 fps= 30 q=-1.0 size=   17921kB time=00:00:27.31 bitrate=5373.9kbits/s speed=   1x    
frame=  834 fps= 30 q=-1.0 size=   18185kB time=00:00:27.82 bitrate=5354.3kbits/s speed=   1x    
frame=  848 fps= 30 q=-1.0 size=   18709kB time=00:00:28.32 bitrate=5411.7kbits/s speed=   1x    
frame=  864 fps= 30 q=-1.0 size=   18955kB time=00:00:28.85 bitrate=5381.4kbits/s speed=   1x    
frame=  880 fps= 30 q=-1.0 size=   19274kB time=00:00:29.35 bitrate=5378.7kbits/s speed=   1x    
frame=  894 fps= 30 q=-1.0 size=   19787kB time=00:00:29.87 bitrate=5425.1kbits/s speed=   1x    
frame=  910 fps= 30 q=-1.0 size=   20339kB time=00:00:30.35 bitrate=5488.8kbits/s speed=   1x    
frame=  926 fps= 30 q=-1.0 size=   20508kB time=00:00:30.88 bitrate=5438.8kbits/s speed=   1x    
frame=  940 fps= 30 q=-1.0 size=   20631kB time=00:00:31.39 bitrate=5383.6kbits/s speed=   1x    
frame=  956 fps= 30 q=-1.0 size=   20771kB time=00:00:31.88 bitrate=5336.0kbits/s speed=   1x    
frame=  972 fps= 30 q=-1.0 size=   21039kB time=00:00:32.42 bitrate=5315.8kbits/s speed=   1x    
frame=  985 fps= 30 q=-1.0 size=   21131kB time=00:00:32.90 bitrate=5260.3kbits/s speed=   1x    
frame= 1001 fps= 30 q=-1.0 size=   21256kB time=00:00:33.42 bitrate=5210.4kbits/s speed=   1x    
frame= 1017 fps= 30 q=-1.0 size=   21373kB time=00:00:33.92 bitrate=5161.5kbits/s speed=   1x    
frame= 1031 fps= 30 q=-1.0 size=   21721kB time=00:00:34.40 bitrate=5172.5kbits/s speed=   1x    
frame= 1046 fps= 30 q=-1.0 size=   21815kB time=00:00:34.93 bitrate=5115.5kbits/s speed=   1x    
frame= 1062 fps= 30 q=-1.0 size=   21943kB time=00:00:35.42 bitrate=5074.8kbits/s speed=   1x    
frame= 1077 fps= 30 q=-1.0 size=   22072kB time=00:00:35.93 bitrate=5031.5kbits/s speed=   1x    
frame= 1092 fps= 30 q=-1.0 size=   22668kB time=00:00:36.44 bitrate=5094.7kbits/s speed=   1x    
frame= 1108 fps= 30 q=-1.0 size=   22930kB time=00:00:36.95 bitrate=5082.8kbits/s speed=   1x    
frame= 1122 fps= 30 q=-1.0 size=   23142kB time=00:00:37.45 bitrate=5061.9kbits/s speed=   1x    
frame= 1137 fps= 30 q=-1.0 size=   23370kB time=00:00:37.98 bitrate=5040.1kbits/s speed=   1x    
frame= 1153 fps= 30 q=-1.0 size=   23728kB time=00:00:38.47 bitrate=5051.9kbits/s speed=   1x    
frame= 1168 fps= 30 q=-1.0 size=   23861kB time=00:00:38.96 bitrate=5016.3kbits/s speed=   1x    
frame= 1183 fps= 30 q=-1.0 size=   24245kB time=00:00:39.50 bitrate=5028.1kbits/s speed=   1x    
frame= 1198 fps= 30 q=-1.0 size=   25162kB time=00:00:39.99 bitrate=5154.3kbits/s speed=   1x    
frame= 1215 fps= 30 q=-1.0 size=   25687kB time=00:00:40.52 bitrate=5192.9kbits/s speed=   1x    
frame= 1230 fps= 30 q=-1.0 size=   25967kB time=00:00:41.02 bitrate=5185.6kbits/s speed=   1x    
frame= 1244 fps= 30 q=-1.0 size=   26278kB time=00:00:41.52 bitrate=5183.8kbits/s speed=   1x    
frame= 1260 fps= 30 q=-1.0 size=   26560kB time=00:00:42.02 bitrate=5177.7kbits/s speed=   1x    
frame= 1273 fps= 30 q=-1.0 size=   27032kB time=00:00:42.52 bitrate=5206.9kbits/s speed=   1x    
frame= 1289 fps= 30 q=-1.0 size=   27390kB time=00:00:43.04 bitrate=5213.1kbits/s speed=   1x    
